speciesLabel,iucnLabel,gbifID
Gossypium abyssinicum,,3936224
Gossypium africanum,,3936206
Gossypium albescens,,3936201
Gossypium album,,3936191
Gossypium amblospermum,,3936186
Gossypium anapoides,,4939598
Gossypium anomalum,Near Threatened,7278830
Gossypium arboreum,,3152663
Gossypium areysianum,,3934603
Gossypium aridum,Vulnerable,7278815
Gossypium armourianum,Critically Endangered,3934579
Gossypium asiaticum,,3934575
Gossypium aureum,,3934570
Gossypium auritum,,3934557
Gossypium australe,,7278797
Gossypium bakeri,,3934483
Gossypium bani,,3934476
Gossypium barbadense,Least Concern,3152666
Gossypium barbadense,Least Concern,3152666
Gossypium barbosanum,,3934289
Gossypium benadirense,,3934282
Gossypium bickii,,3934269
Gossypium bicolor,,3934265
Gossypium birkinshawii,,3934256
Gossypium brasiliense,,3152667
Gossypium brevilanatum,,3934227
Gossypium bricchettii,,3934223
Gossypium caicoense,,
Gossypium californicum,,3934196
Gossypium calycotum,,3934186
Gossypium cambayense,,3934180
Gossypium capitis-viridis,,3934175
Gossypium cernuum,,3934157
Gossypium cinereum,,3934146
Gossypium contextum,,3934123
Gossypium convexum,,3934119
Gossypium costulatum,,3934111
Gossypium croceum,,3934104
Gossypium cunninghamii,,3934095
Gossypium darwinii,Least Concern,3934083
Gossypium davidsonii,Vulnerable,3934075
Gossypium decurrens,,3934069
Gossypium dicladum,,3934060
Gossypium divaricatum,,3934057
Gossypium drynarioides,,3934053
Gossypium eglandulosum,,3934048
Gossypium ekmanianum,Least Concern,3934038
Gossypium elatum,,3934032
Gossypium enthyle,,3934021
Gossypium evertum,,3934010
Gossypium exiguum,,3934004
Gossypium glabrum,,3933944
Gossypium gossypioides,Vulnerable,3933919
Gossypium gracile,,3933914
Gossypium guyanense,,7278743
Gossypium harknessii,Endangered status,7278740
Gossypium harrisii,,3933883
Gossypium herbaceum,Data Deficient,3152658
Gossypium herbaceum,Data Deficient,3152658
Gossypium hirsutum,Vulnerable,3152661
Gossypium hirsutum,Vulnerable,3152661
Gossypium hopi,,3933680
Gossypium hypadenum,,3933668
Gossypium incanum,,3933663
Gossypium indicum,,
Gossypium intermedium,,3933648
Gossypium irenaeum,,3933637
Gossypium isabelum,,3933632
Gossypium jamaicense,,3933619
Gossypium javanicum,,
Gossypium jumelianum,,3933594
Gossypium kirkii,,3933589
Gossypium klotzschianum,Near Threatened,7278721
Gossypium lanceolatum,,3933540
Gossypium laxum,Endangered status,3933473
Gossypium lobatum,Endangered status,3933448
Gossypium londonderriense,,3933442
Gossypium longicalyx,Vulnerable,3933437
Gossypium macrospermum,,3933413
Gossypium marchantii,,3933409
Gossypium marie-galante,,3933399
Gossypium micranthum,,3933719
Gossypium morrilli,,3933351
Gossypium multiglandulosum,,3933341
Gossypium mustelinum,Endangered status,3933330
Gossypium nandewarense,,3933316
Gossypium nankin,,3933309
Gossypium nanking,,3152664
Gossypium neglectum,,3933302
Gossypium nelsonii,,3933292
Gossypium nervosum,,3933278
Gossypium nicaraguense,,3933270
Gossypium nigrum,,3933262
Gossypium niveum,,3933257
Gossypium nobile,,3933252
Gossypium oligospermum,,3933228
Gossypium pallens,,3933223
Gossypium pallidum,,3933217
Gossypium palmeri,,4939609
Gossypium paniculatum,,3933196
Gossypium patens,,3933176
Gossypium pedatum,,3933161
Gossypium perenne,,3933153
Gossypium perrieri,,3933149
Gossypium peruvianum,,3152670
Gossypium pilosum,,3933053
Gossypium populifolium,,3933039
Gossypium prostratum,,3933026
Gossypium puberulum,,3941083
Gossypium pulchellum,,3941066
Gossypium punctatum,,
Gossypium purpurascens,,3941022
Gossypium purpureum,,3941018
Gossypium quinacre,,3941009
Gossypium racemosum,,3940994
Gossypium raimondii,Endangered status,3933091
Gossypium religiosum,,
Gossypium robinsonii,,3940962
Gossypium rohrianum,,3940957
Gossypium rosei,,3940947
Gossypium rotundifolium,,3940934
Gossypium rubicundum,,
Gossypium rubrum,,3940909
Gossypium rufum,,3940902
Gossypium rupestre,,3940897
Gossypium sanguineum,,
Gossypium sarmentosum,,3940880
Gossypium schottii,,3940869
Gossypium schwendimanii,Endangered status,3940861
Gossypium senarense,,
Gossypium sericatum,,3940850
Gossypium simpsonii,,3940838
Gossypium somalense,,3940827
Gossypium soudanense,,3940823
Gossypium speciosum,,3940816
Gossypium stephensii,,9239703
Gossypium stocksii,,3940811
Gossypium sturtianum,,3152671
Gossypium sturtii,,3152672
Gossypium taitense,,4939607
Gossypium teleium,,3940725
Gossypium tenax,,3940722
Gossypium thespesioides,,3940705
Gossypium thurberi,Endangered status,3152653
Gossypium timorense,,3940689
Gossypium tomentosum,Vulnerable,3152655
Gossypium transvaalense,,3940679
Gossypium trichospermum,,3940673
Gossypium tricuspidatum,,3940666
Gossypium tridens,,3940658
Gossypium trifurcatum,,3940653
Gossypium trilobum,Endangered status,3940633
Gossypium triphyllum,Data Deficient,3940626
Gossypium turneri,Critically Endangered,3940619
Gossypium virens,,3940604
Gossypium virgatum,,3940598
Gossypium vollesenii,,3940578
Gossypium volubile,,3940569
Gossypium zaitzevii,,3940544
